Time,State,Progress,Total,Trump Share,Trump Vote,Biden Share,Biden Vote,Other Share,Other Vote,Adjusted Progress,Biden Projection,Trump Projection
2020-11-07 03:22:36.159396,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784630.6184347912,1805401.4577011552
2020-11-07 03:32:44.598990,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784637.6669606178,1805380.697286781
2020-11-07 03:42:52.692973,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784644.5343867724,1805360.5110625895
2020-11-07 03:53:01.516666,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784651.2279679484,1805340.8760280132
2020-11-07 04:03:09.184380,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784657.7545761247,1805321.7703945048
2020-11-07 04:13:18.489096,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784664.120725971,1805303.1735072928
2020-11-07 04:23:28.193858,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784670.3325975665,1805285.0657720524
2020-11-07 04:33:36.054131,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784676.3960576963,1805267.4285880954
2020-11-07 04:43:43.942454,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784682.3166793003,1805250.2442859148
2020-11-07 04:53:52.243484,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784688.0997598725,1805233.4960697824
2020-11-07 05:04:00.609474,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784693.7503380293,1805217.1679643737
2020-11-07 05:14:08.722345,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784699.2732093488,1805201.2447652682
2020-11-07 05:24:17.333980,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784704.6729406675,1805185.7119928945
2020-11-07 05:34:25.847944,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784709.953883738,1805170.5558501561
2020-11-07 05:44:34.255299,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784715.1201875943,1805155.763182172
2020-11-07 05:54:44.191963,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784720.1758102584,1805141.321439989
2020-11-07 06:04:53.542598,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784725.1245296423,1805127.2186454094
2020-11-07 06:15:02.401545,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784729.9699535815,1805113.443359527
2020-11-07 06:25:11.086330,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784734.7155295876,1805099.9846523488
2020-11-07 06:35:20.799861,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784739.364553153,1805086.832074771
2020-11-07 06:45:30.044880,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784743.9201765717,1805073.975632734
2020-11-07 06:55:39.277252,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784748.385416287,1805061.4057623493
2020-11-07 07:05:48.531335,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784752.7631602162,1805049.1133072788
2020-11-07 07:15:57.943044,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784757.0561746103,1805037.0894971662
2020-11-07 07:26:07.253560,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784761.2671102902,1805025.3259273127
2020-11-07 07:36:16.549771,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784765.3985086384,1805013.8145403762
2020-11-07 07:46:26.149324,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784769.4528071943,1805002.5476078044
2020-11-07 07:56:36.025847,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784773.4323449358,1804991.5177139316
2020-11-07 08:06:45.558134,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784777.3393670635,1804980.7177399157
2020-11-07 08:16:56.098917,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784781.1760299588,1804970.140849284
2020-11-07 08:27:05.680971,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784784.9444052451,1804959.7804737908
2020-11-07 08:37:15.267823,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784788.6464838902,1804949.6303005812
2020-11-07 08:47:25.306148,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784792.2841804514,1804939.68425992
2020-11-07 08:57:35.274079,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784795.8593363238,1804929.9365135222
2020-11-07 09:07:45.214607,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784799.3737233733,1804920.381443565
2020-11-07 09:17:56.790941,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784802.8290470757,1804911.0136425109
2020-11-07 09:28:06.908291,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784806.2269499758,1804901.8279033324
2020-11-07 09:38:17.219152,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784809.569013834,1804892.8192101186
2020-11-07 09:48:26.991156,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784812.8567631182,1804883.9827296617
2020-11-07 09:58:38.454966,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784816.091667401,1804875.3138032283
2020-11-07 10:08:48.579404,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784819.2751433721,1804866.8079383157
2020-11-07 10:18:59.265344,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784822.4085578762,1804858.4608018992
2020-11-07 10:29:10.504485,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784825.493229562,1804850.2682128374
2020-11-07 10:39:21.170988,AZ,0.9,3225905,0.4879889519375183,1574206,0.497245579147557,1604067,0.014765468914924649,47632,0.8844840586200435,1784828.5304312855,1804842.226135855
2020-11-07 10:49:31.811291,AZ,0.9,3232875,0.4882845764219155,1578563,0.4969341530371573,1606526,0.014781270540927193,47786,0.8863951049430386,1784817.9843434123,1804847.9092096272
2020-11-07 10:59:42.442227,AZ,0.9,3234625,0.48827236542103025,1579378,0.4969447772152877,1607430,0.014782857363682034,47817,0.8868749228864019,1784811.4264052664,1804849.9190075079
2020-11-07 11:09:56.647119,AZ,0.9,3282495,0.48937469820974594,1606370,0.49564218681216576,1626943,0.014983114978088314,49182,0.8999999999999999,1784768.4029940446,1804879.645634805
2020-11-07 11:20:07.638648,AZ,0.9,3282495,0.48937469820974594,1606370,0.49564218681216576,1626943,0.014983114978088314,49182,0.8999999999999999,1784726.534958117,1804908.5840699344
