,Unnamed: 0,year_2020,county_fips,totalvotes_2020,party_2020,county_name_2020,state_2020,state_po_2020,candidatevotes_2020,voteShare_2020,year_2016,totalvotes_2016,party_2016,county_name_2016,state_2016,state_po_2016,candidatevotes_2016,voteShare_2016,DELTA,CLUSTER
512,512,2020,42103.0,32554,DEMOCRAT,PIKE,PENNSYLVANIA,PA,13019,0.3999201327025865,2016,26101,DEMOCRAT,PIKE,PENNSYLVANIA,PA,9256,0.3546224282594536,4.5297704443132805,6
513,513,2020,42105.0,9064,DEMOCRAT,POTTER,PENNSYLVANIA,PA,1726,0.190423654015887,2016,7784,DEMOCRAT,POTTER,PENNSYLVANIA,PA,1302,0.1672661870503597,2.315746696552734,1
514,514,2020,42107.0,70603,DEMOCRAT,SCHUYLKILL,PENNSYLVANIA,PA,20727,0.2935710947126893,2016,62869,DEMOCRAT,SCHUYLKILL,PENNSYLVANIA,PA,16770,0.2667451367128473,2.6825957999841945,2
515,515,2020,42109.0,19140,DEMOCRAT,SNYDER,PENNSYLVANIA,PA,4910,0.2565308254963427,2016,16363,DEMOCRAT,SNYDER,PENNSYLVANIA,PA,4002,0.2445761779624763,1.1954647533866436,0
516,516,2020,42111.0,40543,DEMOCRAT,SOMERSET,PENNSYLVANIA,PA,8654,0.2134523838887107,2016,35773,DEMOCRAT,SOMERSET,PENNSYLVANIA,PA,7376,0.2061890252425013,0.7263358646209417,4
517,517,2020,42113.0,3595,DEMOCRAT,SULLIVAN,PENNSYLVANIA,PA,921,0.2561891515994436,2016,3136,DEMOCRAT,SULLIVAN,PENNSYLVANIA,PA,750,0.2391581632653061,1.703098833413755,0
518,518,2020,42115.0,21752,DEMOCRAT,SUSQUEHANNA,PENNSYLVANIA,PA,6236,0.286686281721221,2016,18863,DEMOCRAT,SUSQUEHANNA,PENNSYLVANIA,PA,5123,0.2715898849599745,1.509639676124647,0
519,519,2020,42117.0,21075,DEMOCRAT,TIOGA,PENNSYLVANIA,PA,4955,0.2351126927639383,2016,18325,DEMOCRAT,TIOGA,PENNSYLVANIA,PA,3901,0.2128785811732605,2.2234111590677728,1
520,520,2020,42119.0,20115,DEMOCRAT,UNION,PENNSYLVANIA,PA,7475,0.3716132239622172,2016,17468,DEMOCRAT,UNION,PENNSYLVANIA,PA,6180,0.3537897870391573,1.7823436923059932,0
521,521,2020,42121.0,26528,DEMOCRAT,VENANGO,PENNSYLVANIA,PA,7585,0.2859243063932449,2016,23348,DEMOCRAT,VENANGO,PENNSYLVANIA,PA,6309,0.2702158643138598,1.5708442079385043,0
522,522,2020,42123.0,20650,DEMOCRAT,WARREN,PENNSYLVANIA,PA,6066,0.2937530266343826,2016,18434,DEMOCRAT,WARREN,PENNSYLVANIA,PA,5145,0.2791038298795704,1.4649196754812188,0
523,523,2020,42125.0,118478,DEMOCRAT,WASHINGTON,PENNSYLVANIA,PA,45088,0.38056010398555,2016,101450,DEMOCRAT,WASHINGTON,PENNSYLVANIA,PA,36322,0.3580285855101035,2.2531518475446544,1
524,524,2020,42127.0,28089,DEMOCRAT,WAYNE,PENNSYLVANIA,PA,9191,0.3272099398340987,2016,24018,DEMOCRAT,WAYNE,PENNSYLVANIA,PA,7008,0.2917811641269048,3.542877570719394,3
525,525,2020,42129.0,204697,DEMOCRAT,WESTMORELAND,PENNSYLVANIA,PA,72129,0.352369599945285,2016,182051,DEMOCRAT,WESTMORELAND,PENNSYLVANIA,PA,59669,0.3277598035715267,2.460979637375832,1
526,526,2020,42131.0,14858,DEMOCRAT,WYOMING,PENNSYLVANIA,PA,4704,0.3165971193969579,2016,13144,DEMOCRAT,WYOMING,PENNSYLVANIA,PA,3811,0.2899421789409616,2.6654940455996257,2
527,527,2020,42133.0,238471,DEMOCRAT,YORK,PENNSYLVANIA,PA,88114,0.3694956619463163,2016,205986,DEMOCRAT,YORK,PENNSYLVANIA,PA,68524,0.3326633848902353,3.683227705608105,3
528,528,2020,55001.0,11818,DEMOCRAT,ADAMS,WISCONSIN,WI,4329,0.3663056354713149,2016,10164,DEMOCRAT,ADAMS,WISCONSIN,WI,3770,0.3709169618260527,-0.4611326354737766,7
529,529,2020,55003.0,8757,DEMOCRAT,ASHLAND,WISCONSIN,WI,4801,0.5482471165924403,2016,8029,DEMOCRAT,ASHLAND,WISCONSIN,WI,4228,0.5265911072362686,2.165600935617173,1
530,530,2020,55005.0,25346,DEMOCRAT,BARRON,WISCONSIN,WI,9194,0.3627396827901838,2016,22643,DEMOCRAT,BARRON,WISCONSIN,WI,7879,0.3479662588879565,1.47734239022273,0
531,531,2020,55007.0,10880,DEMOCRAT,BAYFIELD,WISCONSIN,WI,6147,0.5649816176470588,2016,9529,DEMOCRAT,BAYFIELD,WISCONSIN,WI,4954,0.5198866617693357,4.509495587772305,6
532,532,2020,55009.0,144017,DEMOCRAT,BROWN,WISCONSIN,WI,65511,0.4548837984404619,2016,128979,DEMOCRAT,BROWN,WISCONSIN,WI,53364,0.4137417719163584,4.114202652410342,6
